id,label,type,layer,group,epistemic_class,status,source_ref,notes
CTRL-FRC09-C,"Pausar, identificar predecessor e reordenar",control,R7,FRC-09,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Converter lista de tarefas em grafo de execução.
ACTION-09,Converter a lista de tarefas em grafo de dependências e estados.,action,R7,FRC-09,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,
METRIC-09-01,bloqueios descobertos após início,metric,R7,FRC-09,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-09-02,retrabalho por dependência,metric,R7,FRC-09,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-09-03,tempo parado,metric,R7,FRC-09,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-09-04,percentual de tarefas READY executadas sem bloqueio,metric,R7,FRC-09,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
SOL-10,External Memory Layer,solution,R7,REMEMBER,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,Transferir memória de estados e intenções para objetos ou sistemas externos.
SOL-11,Contextual Reminder Builder,solution,R7,REMEMBER,D,CATALOG_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,Usar gatilhos contextuais e lembretes para intenções futuras.
CTRL-FRC11-P,Converter intenção futura em gatilho externo,control,R7,FRC-11,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Quando X ocorrer → apresentar Y.
CTRL-FRC11-D,Detectar intenções repetidamente esquecidas,control,R7,FRC-11,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Sinais: eu sabia, esqueci na hora, lembrei depois, etapa omitida."
CTRL-FRC11-C,Substituir memória interna por gatilho verificável,control,R7,FRC-11,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Após omissão, criar gatilho contextual verificável."
ACTION-11,"Trocar 'lembrar de fazer' por uma regra contextual 'quando X acontecer, criar/apresentar Y'.",action,R7,FRC-11,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,
METRIC-11-01,ações esquecidas,metric,R7,FRC-11,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-11-02,ações realizadas após gatilho,metric,R7,FRC-11,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-11-03,lembretes ignorados,metric,R7,FRC-11,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-11-04,percentual de intenções concluídas no contexto esperado,metric,R7,FRC-11,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
SOL-12,Choice Audit,solution,R7,SCAN,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Reduzir opções simultâneas, usar defaults transparentes e preservar reversibilidade."
SOL-13,Decision Rules Engine,solution,R7,CONTROL,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,Pré-definir critérios e automatizar decisões repetitivas com cautela de evidência.
SOL-14,Environment Load Scanner,solution,R7,SCAN,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,Adequar tarefa ao ambiente e controlar estímulos irrelevantes.
SOL-15,Focused Workspace,solution,R7,FOCUS,D,CATALOG_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Limitar interrupções, reduzir conteúdo concorrente e manter estado persistente."
CTRL-FRC15-P,Workspace orientado à tarefa atual,control,R7,FRC-15,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Uma ação principal visível; demais estados persistidos fora do campo competitivo.
CTRL-FRC15-D,Detectar fragmentação operacional,control,R7,FRC-15,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Sinais: múltiplos apps, informação duplicada, notificações concorrentes, estado distribuído, alternância de tela."
CTRL-FRC15-C,Consolidar estado e reduzir fontes concorrentes,control,R7,FRC-15,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,"Definir app principal, fechar fontes não necessárias, silenciar interrupções e registrar estado/próximo passo."
ACTION-15,Executar atividade crítica em workspace focado com estado persistente.,action,R7,FRC-15,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,
METRIC-15-01,aplicativos utilizados por tarefa,metric,R7,FRC-15,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-15-02,mudanças de janela,metric,R7,FRC-15,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-15-03,interrupções,metric,R7,FRC-15,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-15-04,tempo de retomada,metric,R7,FRC-15,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
METRIC-15-05,tarefas concluídas sem troca de workspace,metric,R7,FRC-15,D,AUTHORIZED,RC-SCAN-INTERVENTION-CATALOG-V1,Métrica de execução; não clínica.
SOL-16,Context Trigger Builder,solution,R7,REMEMBER,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,Criar pistas contextuais estáveis e relações situação–ação.
SOL-17,Preflight Runner,solution,R7,MAP,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Executar preflight de objetivo, materiais, contexto, dependências e primeira ação."
SOL-18,Focus Gate,solution,R7,FOCUS,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Uma prioridade ativa, captura externa de interrupções e redução de estímulos concorrentes."
SOL-19,Cognitive Risk Scanner,solution,R7,SCAN,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Auditar conjuntamente pessoa, tarefa, informação, ambiente, processo e tecnologia."
SOL-20,Risk-to-Control Engine,solution,R7,CONTROL,D,CONCEPTUAL_DEFINED_NOT_SCANNER_AUTHORIZED,TP-001.FACTOR_SOLUTION_MATRIX.V1,"Transformar barreira em controle, processo adaptado, execução, evidência e aprendizado."
CLAIM-01,"Fatores isolados não equivalem automaticamente a risco; objetivo, contexto e exposição precisam ser considerados.",claim,R7,Evidência,D,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Não dizer que cada fator é um risco.
EVD-01,SCHEMA_RC_KNOWLEDGE_TO_ASSET_V1.yaml,evidence,R7,Evidência,D,DEFINED,TP-001.EVIDENCE_MATRIX.V1,FW · Não dizer que cada fator é um risco.
CLAIM-02,A memória de trabalho tem capacidade limitada; mais informação disponível não amplia proporcionalmente manutenção/manipulação simultânea.,claim,R7,Evidência,B,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Não generalizar para 'o cérebro só processa quatro informações'.
EVD-02,Luck & Vogel (memória de trabalho visual),evidence,R7,Evidência,B,DEFINED,TP-001.EVIDENCE_MATRIX.V1,E1 · Não generalizar para 'o cérebro só processa quatro informações'.
CLAIM-03,Quantidade e forma de apresentação são dimensões diferentes; organização pode modificar esforço para localizar e usar informação.,claim,R7,Evidência,C,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Não afirmar que hierarquia visual sempre reduz carga.
EVD-03,W3C Cognitive Accessibility; evidência aplicada sobre clutter,evidence,R7,Evidência,C,DEFINED,TP-001.EVIDENCE_MATRIX.V1,E2+S · Não afirmar que hierarquia visual sempre reduz carga.
CLAIM-04,"Informar previamente etapas, recursos, processo e próximos passos reduz estrutura a reconstruir durante a tarefa.",claim,R7,Evidência,B,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,"A fórmula de escrita de tarefas do projeto é regra operacional, não lei científica."
EVD-04,W3C — Task Expectations,evidence,R7,Evidência,B,DEFINED,TP-001.EVIDENCE_MATRIX.V1,"E2 · A fórmula de escrita de tarefas do projeto é regra operacional, não lei científica."
CLAIM-05,Caminhos críticos mais curtos e sem etapas opcionais desnecessárias podem reduzir fricção.,claim,R7,Evidência,B,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Não afirmar que menos etapas é sempre melhor.
EVD-05,W3C — Make Short Critical Paths,evidence,R7,Evidência,B,DEFINED,TP-001.EVIDENCE_MATRIX.V1,E2 · Não afirmar que menos etapas é sempre melhor.
CLAIM-06,Alternar conjuntos de regras pode produzir custos mensuráveis de desempenho.,claim,R7,Evidência,B,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Não usar linguagem de dano cerebral ou tempo universal de recuperação.
EVD-06,Rogers & Monsell,evidence,R7,Evidência,B,DEFINED,TP-001.EVIDENCE_MATRIX.V1,E1 · Não usar linguagem de dano cerebral ou tempo universal de recuperação.
CLAIM-07,Interrupções podem deslocar foco e dificultar manutenção/recuperação do contexto da tarefa.,claim,R7,Evidência,C,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,"Efeito varia por pessoa, tarefa e tipo de interrupção."
EVD-07,W3C; literatura de interrupção/retomada,evidence,R7,Evidência,C,DEFINED,TP-001.EVIDENCE_MATRIX.V1,"E2+S · Efeito varia por pessoa, tarefa e tipo de interrupção."
CLAIM-08,Lembretes e recursos externos podem sustentar intenções futuras e reduzir dependência exclusiva de memória interna.,claim,R7,Evidência,B,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Externalização não elimina esquecimentos.
EVD-08,Gilbert — strategic offloading/reminders,evidence,R7,Evidência,B,DEFINED,TP-001.EVIDENCE_MATRIX.V1,E1 · Externalização não elimina esquecimentos.
CLAIM-09,"Ambiente digital pode apoiar execução ou adicionar interrupções, conteúdo concorrente e reorientação.",claim,R7,Evidência,C,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Não generalizar que tecnologia aumenta carga cognitiva.
EVD-09,"W3C — foco, interrupções e conteúdo manejável",evidence,R7,Evidência,C,DEFINED,TP-001.EVIDENCE_MATRIX.V1,E2+S · Não generalizar que tecnologia aumenta carga cognitiva.
CLAIM-10,"Carga mental também é influenciada pelo desenho da tarefa, equipamentos, ambiente e fatores sociais/organizacionais.",claim,R7,Evidência,B,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,"A norma sustenta componentes, não valida o framework completo."
EVD-10,ISO 10075-2:2024,evidence,R7,Evidência,B,DEFINED,TP-001.EVIDENCE_MATRIX.V1,"E2 · A norma sustenta componentes, não valida o framework completo."
CLAIM-11,Múltiplas pequenas demandas podem coexistir e formar um problema sistêmico.,claim,R7,Evidência,C,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Não afirmar relação linear/aditiva específica sem dados.
EVD-11,Síntese compatível com ISO 10075-2,evidence,R7,Evidência,C,DEFINED,TP-001.EVIDENCE_MATRIX.V1,S · Não afirmar relação linear/aditiva específica sem dados.
CLAIM-12,O framework propõe Objetivo → Contexto → Demanda → Vulnerabilidade → Exposição → Risco → Evento/Impacto.,claim,R7,Evidência,D,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Identificar explicitamente como framework proprietário.
EVD-12,Documentos metodológicos do projeto,evidence,R7,Evidência,D,DEFINED,TP-001.EVIDENCE_MATRIX.V1,FW · Identificar explicitamente como framework proprietário.
CLAIM-13,Cadeia de desvalor cognitivo descreve acúmulo de barreiras/demandas evitáveis que deslocam esforço para administrar o sistema.,claim,R7,Evidência,D,AUTHORIZED,TP-001.AUTHORIZED_CLAIMS.V1,Não apresentar como categoria científica estabelecida.
EVD-13,Framework proprietário,evidence,R7,Evidência,D,DEFINED,TP-001.EVIDENCE_MATRIX.V1,FW · Não apresentar como categoria científica estabelecida.
