Title,Description,Status,Priority,Labels,Project,Estimate,External ID
[PLAN-EXEC-1409-F05-T04] Validar preview-db.yml em PR real,"Fase: FASE-05
Tipo: TEST
Nível de automação: A4
Entrada: NEON_API_KEY
Critério de aceite: Branch criado e destruído por PR, com database 'executar'
Evidência: Run do Actions
Bloqueante: YES",Backlog,High,"tarefa,test,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F05-T04
[PLAN-EXEC-1409-F06-T01] Recriar produtos e preços em livemode,"Fase: FASE-06
Tipo: BILLING
Nível de automação: A2
Entrada: KYC aprovado
Critério de aceite: 6 preços replicados em livemode com os mesmos lookup_key
Evidência: Stripe API
Bloqueante: NO",Backlog,Medium,"tarefa,billing,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F06-T01
[PLAN-EXEC-1409-F06-T02] Revalidar webhook de pagamentos,"Fase: FASE-06
Tipo: BILLING
Nível de automação: A4
Entrada: STRIPE_WEBHOOK_SECRET
Critério de aceite: 7 tipos de evento entregues e processados
Evidência: Stripe events
Bloqueante: YES",Backlog,High,"tarefa,billing,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F06-T02
[PLAN-EXEC-1409-F06-T03] Finalizar textos legais LGPD,"Fase: FASE-06
Tipo: CONTENT
Nível de automação: A3
Entrada: packages/cms/content/legal
Critério de aceite: Termos e Privacidade completos, com subprocessadores reais e transferência internacional declarada
Evidência: PR + páginas publicadas
Bloqueante: YES",Backlog,High,"tarefa,content,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F06-T03
[PLAN-EXEC-1409-F06-T04] Testar round-trip de exportação e exclusão LGPD,"Fase: FASE-06
Tipo: TEST
Nível de automação: A4
Entrada: Workspace real
Critério de aceite: Export gera arquivo completo; delete remove dado e mantém trilha
Evidência: Evidência de execução
Bloqueante: YES",Backlog,High,"tarefa,test,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F06-T04
[PLAN-EXEC-1409-F07-T01] Publicar rotas públicas de apps/web,"Fase: FASE-07
Tipo: CODE
Nível de automação: A4
Entrada: 6 rotas do índice
Critério de aceite: Todas respondem 200 no domínio próprio
Evidência: curl + Playwright
Bloqueante: YES",Backlog,High,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F07-T01
[PLAN-EXEC-1409-F07-T02] Implementar camada Quick Frameworks e deep links,"Fase: FASE-07
Tipo: CODE
Nível de automação: A3
Entrada: Briefing §23-24
Critério de aceite: Conceito citado em artigo abre explicação estruturada sem sair do artigo
Evidência: Página real
Bloqueante: NO",Backlog,Medium,"tarefa,code,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F07-T02
[PLAN-EXEC-1409-F07-T03] Implementar carrossel vertical de storyboard no topo do artigo,"Fase: FASE-07
Tipo: CODE
Nível de automação: A3
Entrada: Briefing §25
Critério de aceite: Artigo exibe storyboard visual navegável
Evidência: Página real
Bloqueante: NO",Backlog,Medium,"tarefa,code,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F07-T03
"[PLAN-EXEC-1409-F07-T04] SEO, sitemap e i18n","Fase: FASE-07
Tipo: CODE
Nível de automação: A4
Entrada: next-config + internationalization
Critério de aceite: sitemap.xml válido; hreflang correto; Lighthouse ≥90 perf e a11y na home
Evidência: Relatório Lighthouse
Bloqueante: YES",Backlog,High,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F07-T04
[PLAN-EXEC-1409-F08-T01] Validar jornada de autenticação ponta a ponta,"Fase: FASE-08
Tipo: TEST
Nível de automação: A4
Entrada: Clerk produção
Critério de aceite: sign-in e sign-up reais criam workspace
Evidência: Playwright autenticado
Bloqueante: YES",Backlog,High,"tarefa,test,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F08-T01
[PLAN-EXEC-1409-F08-T02] Completar e validar Mapa OS,"Fase: FASE-08
Tipo: CODE
Nível de automação: A4
Entrada: packages/mapa-os
Critério de aceite: Mapa OS renderiza estado real (agora/próximo/depois/bloqueado) a partir do banco
Evidência: E2E + captura
Bloqueante: YES",Backlog,High,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F08-T02
[PLAN-EXEC-1409-F08-T03] Implementar impressão do Mapa OS,"Fase: FASE-08
Tipo: CODE
Nível de automação: A3
Entrada: Briefing §5
Critério de aceite: Mapa OS gera versão impressa fiel ao estado digital
Evidência: PDF gerado
Bloqueante: YES",Backlog,High,"tarefa,code,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F08-T03
"[PLAN-EXEC-1409-F08-T04] Validar Projetos, Agora/Hoje/Amanhã e Relatórios","Fase: FASE-08
Tipo: CODE
Nível de automação: A4
Entrada: 25 rotas autenticadas
Critério de aceite: Jornada núcleo completa sem erro de runtime
Evidência: E2E
Bloqueante: YES",Backlog,High,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F08-T04
[PLAN-EXEC-1409-F08-T05] Zerar erros de runtime em produção,"Fase: FASE-08
Tipo: FIX
Nível de automação: A4
Entrada: get_runtime_errors
Critério de aceite: Nenhum cluster de erro nas rotas núcleo em 24h
Evidência: Vercel runtime errors
Bloqueante: YES",Backlog,High,"tarefa,fix,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F08-T05
[PLAN-EXEC-1409-F09-T01] Implementar runtime de agentes contra o contrato de handoff,"Fase: FASE-09
Tipo: CODE
Nível de automação: A3
Entrada: packages/agent-runtime
Critério de aceite: Handoff tipado e auditável executando de ponta a ponta
Evidência: Teste + trilha
Bloqueante: YES",Backlog,High,"tarefa,code,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F09-T01
"[PLAN-EXEC-1409-F09-T02] Popular registry de agentes, skills e tools","Fase: FASE-09
Tipo: CODE
Nível de automação: A3
Entrada: Blueprint multi-agent
Critério de aceite: Registry sem campos vazios para os agentes em uso
Evidência: Registry versionado
Bloqueante: YES",Backlog,High,"tarefa,code,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F09-T02
[PLAN-EXEC-1409-F09-T03] Expor e validar /mcp contra o contrato MCP Skill V2.1,"Fase: FASE-09
Tipo: CODE
Nível de automação: A3
Entrada: packages/mcp
Critério de aceite: Cliente MCP externo lista e executa as tools declaradas
Evidência: Sessão MCP real
Bloqueante: YES",Backlog,High,"tarefa,code,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F09-T03
[PLAN-EXEC-1409-F09-T04] Ampliar dataset de evals e ligar gate 100%,"Fase: FASE-09
Tipo: TEST
Nível de automação: A4
Entrada: evals/ (18 casos)
Critério de aceite: Dataset ampliado; gate bloqueante em datasets, adversarial e regression
Evidência: ci.yml
Bloqueante: YES",Backlog,High,"tarefa,test,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F09-T04
[PLAN-EXEC-1409-F09-T05] Executar comando real do Copiloto sobre backlog,"Fase: FASE-09
Tipo: TEST
Nível de automação: A4
Entrada: Copiloto + banco real
Critério de aceite: Comando altera estado real com trilha de auditoria e desfazer
Evidência: Evidência no banco
Bloqueante: YES",Backlog,High,"tarefa,test,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F09-T05
[PLAN-EXEC-1409-F10-T01] Fechar decisão técnica do Scanner,"Fase: FASE-10
Tipo: DECISION
Nível de automação: A2
Entrada: Conflito OCR vs DINOv2/ONNX
Critério de aceite: Decisão registrada com base em evidência de custo, latência e viabilidade on-device
Evidência: DECISION_LOG DEC-004
Bloqueante: YES",Backlog,High,"tarefa,decision,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F10-T01
"[PLAN-EXEC-1409-F10-T02] Implementar scanner dispatch, symbols e undo","Fase: FASE-10
Tipo: CODE
Nível de automação: A3
Entrada: 3 rotas de api já existentes
Critério de aceite: Símbolo escaneado dispara ação real e é reversível
Evidência: E2E
Bloqueante: YES",Backlog,High,"tarefa,code,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F10-T02
[PLAN-EXEC-1409-F10-T03] Ligar integrações autorizadas (WhatsApp/Gmail/Outlook),"Fase: FASE-10
Tipo: INTEGRATION
Nível de automação: A3
Entrada: Credenciais do FORM-ZERO
Critério de aceite: Webhook de cada canal autorizado entrega 200 com assinatura válida
Evidência: Log da api
Bloqueante: YES",Backlog,High,"tarefa,integration,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F10-T03
[PLAN-EXEC-1409-F10-T04] Validar rotina diária e registrar degradação do cron,"Fase: FASE-10
Tipo: CODE
Nível de automação: A4
Entrada: Plano Hobby = 1x/dia
Critério de aceite: Rotina executa e entrega resumo; a limitação está registrada como item de upgrade, não escondida
Evidência: Execução + registro
Bloqueante: YES",Backlog,High,"tarefa,code,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F10-T04
[PLAN-EXEC-1409-F11-T01] Inicializar EAS e gravar projectId,"Fase: FASE-11
Tipo: INFRA
Nível de automação: A2
Entrada: EXPO_TOKEN válido
Critério de aceite: extra.eas.projectId preenchido em apps/mobile/app.json
Evidência: app.json
Bloqueante: YES",Backlog,High,"tarefa,infra,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F11-T01
[PLAN-EXEC-1409-F11-T02] Gerar builds de produção iOS e Android,"Fase: FASE-11
Tipo: BUILD
Nível de automação: A3
Entrada: EAS configurado
Critério de aceite: Dois builds de produção concluídos
Evidência: EAS build
Bloqueante: YES",Backlog,High,"tarefa,build,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F11-T02
"[PLAN-EXEC-1409-F11-T03] Produzir metadados, capturas e textos das lojas","Fase: FASE-11
Tipo: CONTENT
Nível de automação: A4
Entrada: App real rodando
Critério de aceite: Todas as capturas, ícones, descrições, palavras-chave e classificação etária gerados — nenhum campo deixado para Leo
Evidência: Pacote de submissão
Bloqueante: YES",Backlog,High,"tarefa,content,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F11-T03
[PLAN-EXEC-1409-F11-T04] Submeter às duas lojas,"Fase: FASE-11
Tipo: SUBMIT
Nível de automação: A2
Entrada: Contas de desenvolvedor
Critério de aceite: Submissão aceita e em revisão nas duas lojas
Evidência: Status das lojas
Bloqueante: YES",Backlog,High,"tarefa,submit,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F11-T04
[PLAN-EXEC-1409-F12-T01] Promover build e E2E a gates bloqueantes,"Fase: FASE-12
Tipo: CI
Nível de automação: A4
Entrada: QUALITY_GATES.md
Critério de aceite: ci.yml falha o PR quando build ou E2E quebram
Evidência: ci.yml + PR de teste
Bloqueante: YES",Backlog,High,"tarefa,ci,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F12-T01
"[PLAN-EXEC-1409-F12-T02] Ligar observabilidade (Sentry, BetterStack)","Fase: FASE-12
Tipo: INFRA
Nível de automação: A3
Entrada: Chaves do FORM-ZERO
Critério de aceite: Erro real aparece no painel em menos de 5 minutos
Evidência: Alerta recebido
Bloqueante: YES",Backlog,High,"tarefa,infra,a3",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F12-T02
[PLAN-EXEC-1409-F12-T03] Executar smoke sequence completa,"Fase: FASE-12
Tipo: TEST
Nível de automação: A4
Entrada: LAUNCH_RUNBOOK §10
Critério de aceite: Os 4 passos da smoke sequence executados e registrados
Evidência: GATE_LOG
Bloqueante: YES",Backlog,High,"tarefa,test,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F12-T03
[PLAN-EXEC-1409-F12-T04] Testar rollback uma vez,"Fase: FASE-12
Tipo: TEST
Nível de automação: A4
Entrada: Deploy anterior READY
Critério de aceite: Rollback executado e revertido, com tempo medido
Evidência: Evidência Vercel
Bloqueante: YES",Backlog,High,"tarefa,test,a4",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F12-T04
[PLAN-EXEC-1409-F12-T05] Corte público e handoff final,"Fase: FASE-12
Tipo: RELEASE
Nível de automação: A2
Entrada: Todos os gates verdes
Critério de aceite: Ecossistema público; Leo testa, navega e usa; relatório final no Linear
Evidência: Aprovação de Leo
Bloqueante: YES",Backlog,High,"tarefa,release,a2",EXECUTAR — Lançamento do Ecossistema,,PLAN-EXEC-1409-F12-T05
